,Hatespeech,Target communities,Rationales,,,,,,,,,,,,,,,,,,,,,,
1,,,43Watch,Bill,Blair,is,a,liar,and,an,incompetent,politician,do,not,trust,Trudeau,his,PMO,his,,,,,,
Abreen,hatespeech',,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Clary,offensive',,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Lei,hatespeech',,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,
2,,,Oh,huh,ya,look,at,that,came,from,,,,,,,,,,,,,,,
Abreen,normal',,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Clary,normal',,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Lei,normal',,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
3,,,Why,would,they,not,after,the,hysteria,and,utter,madness,of,the,communist,inspired,lock,downs,,,,,,,
Abreen,offensive',Chinese,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,
Clary,offensive',Chinese,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,,,,,,,
Lei,offensive',Chinese,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,,,,,,,
4,,,in,short,,,,,,,,,,,,,,,,,,,,,
Abreen,normal',,0,0,,,,,,,,,,,,,,,,,,,,,
Clary,normal',,0,0,,,,,,,,,,,,,,,,,,,,,
Lei,normal',,0,0,,,,,,,,,,,,,,,,,,,,,
5,,,They,a,joke,They,disgraced,themselves,I,would,never,put,the,well,being,of,my,family,in,their,hands,and,you,,
Abreen,offensive ,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Clary,offensive ,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Lei,hatespeech,unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,,,Sick,of,hearing,that,reclining,your,seat,on,a,plane,is,a,dick,move,The,people,not,reclining,are,the,problem,If,ev
Abreen,offensive ,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Clary,offensive ,,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0
Lei,hatespeech,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,,,Not,according,to,the,bank,of,America,reckon,consumers,are,as,cashed,up,as,they,were,prior,to,,,,,
Abreen,normal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Clary,normal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lei,normal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
8,,,This,Wuhan,virus,is,really,annoying,Thankfully,I,don,have,it,but,I,have,a,friend,that,just,caught,it,and,I,p
Abreen,hatespeech ,Asian,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clary,hatespeech ,Asian,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lei,offensive,Asian,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,,,The,is,funding,this,I,want,to,know,WHY,and,when,the,NIH,will,be,deemed,a,organization,Its,more,than,,
Abreen,normal ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Clary,normal ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Lei,normal ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,,,All,the,old,people,who,believed,that,shit,in,the,1970s,were,killed,by,the,in,2020,,,,,,
Abreen,offensive ,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,
Clary,offensive ,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,
Lei,offensive ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
11,,,The,is,funding,this,I,want,to,know,WHY,and,when,the,NIH,will,be,deemed,a,organization,Its,more,than,,
Abreen,normal ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Clary,normal ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Lei,normal ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
12,,,Cue,viral,videos,of,people,allegedly,dropping,dead,in,the,streets,,,,,,,,,,,,
Abreen,offensive ,,1,1,0,0,0,1,1,1,0,0,0,,,,,,,,,,,,
Clary,offensive ,,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,
Lei,offensive ,,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,
13,,,So,if,the,vaccines,don,t,stop,you,from,getting,the,AND,don,t,stop,you,from,spreading,the,the,,,
Abreen,normal ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
